# spread probe XSP 2026-09-04 — session snapshots 6449 / T=20472, C=110
side     OTM         n bidNull%  bid0%  lock%    x%  hs p10  hs p50  hs p90  rel p50
P        ITM    111168     0.0%   0.0%   0.0%  0.0%   0.025   0.265   0.310    0.021
P        0-2     12898     2.2%   0.0%   0.0%  0.0%   0.005   0.010   0.010    0.022
P        2-5     19347    14.3%   0.0%   0.0%  0.0%   0.005   0.005   0.010    0.091
P       5-10     32245    34.7%   0.0%   0.0%  0.0%   0.005   0.005   0.010    0.200
P      10-20     40505    69.2%   0.0%   0.0%  0.0%   0.005   0.005   0.010    0.333
P     20-inf      6192    95.8%   0.0%   0.0%  0.0%   0.005   0.010   0.010    0.500
C        ITM    111130     0.1%   0.0%   0.0%  0.0%   0.055   0.225   0.305    0.021
C        0-2     12898     4.7%   0.0%   0.0%  0.0%   0.005   0.010   0.010    0.027
C        2-5     19347    28.0%   0.0%   0.0%  0.0%   0.005   0.005   0.010    0.111
C       5-10     32245    52.4%   0.0%   0.0%  0.0%   0.005   0.005   0.010    0.333
C      10-20     40540    88.4%   0.0%   0.0%  0.0%   0.005   0.005   0.005    0.333
C     20-inf      6195   100.0%   0.0%   0.0%  0.0%     nan     nan     nan      nan

# puts 2–10 from spot — p50 half-spread ($) by 30-min ET slot (09:30 = slot 00)
  00:0.010  01:0.010  02:0.010  03:0.010  04:0.005  05:0.005  06:0.005  07:0.005  08:0.005  09:0.005  10:0.005  11:0.005  12:nan
